radar_zone,tech_index,innovation_tech_name,radar_locate,radar_size,H001_title,H002_title,H003_title,H004_title
H001,821,Generative AI,Adopt,Transformational,修改名稱A,修改名稱B,修改名稱C,修改名稱D
H001,671,EA Tools,Trial,High,,,,
H001,670,EA Governance,Assess,High,,,,
H001,1645,Tokenization,Assess,Transformational,,,,
H001,70,AI Governance,Hold,High,,,,
H001,504,Data Governance,Hold,High,,,,
H002,572,DevSecOps,Adopt,Transformational,,,,
H002,1073,DevOps Platforms,Adopt,High,,,,
H002,814,Full Life Cycle API Management,Trial,High,,,,
H002,1446,Retrieval Augmented Generation,Trial,High,,,,
H002,1395,Prompt Engineering,Assess,High,,,,
H002,839,Large Language Models,Assess,Transformational,,,,
H003,9999,Cloud Computing,Adopt,High,,,,
H003,1202,Multicloud,Trial,High,,,,
H003,905,Hybrid Cloud Computing,Trial,High,,,,
H003,309,Cloud Computing in Manufacturing Operations,Trial,High,,,,
H003,1336,Cloud AI Services,Assess,High,,,,
H003,684,Edge Computing,Hold,Transformational,,,,
H004,413,Container Management,Adopt,High,,,,
H004,123,API Access Control,Adopt,High,,,,
H004,1166,Microservices,Trial,High,,,,
H004,9999,ZTNA,Trial,High,,,,
H004,135,API Threat Protection,Assess,High,,,,
H004,132,API Observability,Assess,High,,,,